sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.454,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.04034919,0.24385796,0.05954703,-0.00294057,0.01785046,0.03386284,0.01244135,-0.014092,0.00843228,-0.0014023,-0.00727219,-0.00037654,0.00024108,-0.00073662,-0.00006481,-0.00006017,0.00000831,-0.00019416,0.0011527,-0.00000184,0.0001452,0.00000269,0.0000003,0.0005338
1,1.454,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.06633197,0.33950843,0.10844653,-0.00299587,0.01940453,0.06264981,0.0122359,-0.01526171,0.00851483,-0.00141986,-0.00407607,-0.00030758,0.00067213,-0.00042255,-0.00005619,-0.00003408,0.00000518,-0.00019308,0.00089894,-0.00000163,0.00014779,0.00000255,-0.00000039,0.00053488
1,1.38,1,0,0,-22.14,12.15,-0.071,-0.037,0.05346564,0.29682746,0.08350926,-0.01527139,0.02096532,0.0479731,0.01227924,-0.01571611,0.00940319,-0.00603387,-0.00557079,0.00134211,0.00048951,-0.00058611,-0.00023485,-0.00004738,-0.00000641,-0.00034195,0.00108186,-0.00000097,0.0001547,0.0000024,-0.00000003,0.00056286
1,1.38,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.06372843,0.31946646,0.10197423,-0.02989683,0.01674782,0.05887571,0.01186367,-0.01566314,0.00766402,-0.01146025,-0.0035469,0.00216019,0.00067743,-0.00039646,-0.00035455,-0.00003323,-0.00001334,-0.00048097,0.00094699,-0.00000042,0.00015614,0.00000213,-0.0000004,0.00056336
1,1.38,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.03911271,0.22342898,0.0556239,-0.02269239,0.01379343,0.03153539,0.01162943,-0.01439329,0.00711143,-0.00890969,-0.00671044,0.00392488,0.00022687,-0.00072849,-0.00046042,-0.00005655,-0.00002664,-0.00047903,0.00121435,0.00000023,0.00015352,0.00000193,0.00000026,0.00056222
1,1.38,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.04238785,0.25642183,0.06247664,-0.00309787,0.01880895,0.03552679,0.0131132,-0.01485002,0.00888489,-0.00147736,-0.00766214,-0.00039728,0.00025419,-0.00077612,-0.00006829,-0.0000634,0.00000876,-0.00020457,0.00121451,-0.00000194,0.00015298,0.00000283,0.00000031,0.00056243
1,1.38,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.06973937,0.35718837,0.11398322,-0.00315614,0.02045086,0.06584869,0.01289738,-0.01608384,0.00897346,-0.00149586,-0.00429465,-0.00032463,0.00070834,-0.0004452,-0.00005921,-0.0000359,0.00000546,-0.00020343,0.00094714,-0.00000172,0.00015572,0.00000269,-0.00000042,0.00056355
1,1.577,1,0,0,-22.14,12.15,-0.071,-0.037,0.04711538,0.26099992,0.07372026,-0.01336981,0.01833787,0.04235097,0.01073163,-0.01375014,0.00822557,-0.0052823,-0.00487488,0.00117578,0.00042794,-0.0005129,-0.00020551,-0.00004146,-0.00000561,-0.00029924,0.00094673,-0.00000085,0.00013537,0.0000021,-0.00000003,0.00049255
1,1.577,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.05610518,0.28083105,0.08987728,-0.02617356,0.01464181,0.05189087,0.01035773,-0.01370676,0.00670174,-0.0100327,-0.00310383,0.00189171,0.00059238,-0.00034695,-0.00031026,-0.00002908,-0.00001167,-0.00042089,0.0008287,-0.00000037,0.00013664,0.00000186,-0.00000035,0.00049299
1,1.577,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.03450892,0.1967397,0.04928108,-0.01986926,0.01206735,0.02794511,0.01016954,-0.01259893,0.00622204,-0.00780081,-0.00587218,0.00343594,0.00019807,-0.0006375,-0.00040288,-0.00004947,-0.00002332,-0.0004192,0.00106267,0.00000021,0.00013434,0.00000169,0.00000023,0.000492
1,1.577,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.03739062,0.22560949,0.05529915,-0.00271178,0.01645625,0.03145026,0.01146392,-0.01298935,0.00777392,-0.00129313,-0.00670501,-0.00034635,0.000222,-0.00067916,-0.00005976,-0.00005548,0.00000766,-0.00017902,0.0010628,-0.0000017,0.00013387,0.00000248,0.00000027,0.00049217
